ent,mun,est,icpth
7,87,3,36843.791
7,87,4,51312.597
7,87,5,9.978
7,88,1,27490.19
7,88,2,2926.178
7,88,3,22677.056
7,88,4,32303.325
7,88,5,10.644
7,89,1,48440.731
7,89,2,3409.222
7,89,3,42833.059
7,89,4,54048.403
7,89,5,7.038
7,90,1,28261.626
7,90,2,2412.884
7,90,3,24292.785
7,90,4,32230.466
7,90,5,8.538
7,91,1,36349.056
7,91,2,3797.759
7,91,3,30102.299
7,91,4,42595.813
7,91,5,10.448
7,92,1,37496.768
7,92,2,3113.381
7,92,3,32375.713
7,92,4,42617.824
7,92,5,8.303
7,93,1,25523.37
7,93,2,2102.315
7,93,3,22065.37
7,93,4,28981.369
7,93,5,8.237
7,94,1,34761.531
7,94,2,3639.193
7,94,3,28775.591
7,94,4,40747.471
7,94,5,10.469
7,96,1,24819.937
7,96,2,1999.613
7,96,3,21530.865
7,96,4,28109.008
7,96,5,8.056
7,97,1,43803.384
7,97,2,3527.662
7,97,3,38000.897
7,97,4,49605.871
7,97,5,8.053
7,98,1,24632.837
7,98,2,2589.586
7,98,3,20373.347
7,98,4,28892.327
7,98,5,10.513
7,99,1,31907.876
7,99,2,3327.914
7,99,3,26433.945
7,99,4,37381.807
7,99,5,10.43
7,100,1,25760.096
7,100,2,2699.485
7,100,3,21319.837
7,100,4,30200.354
7,100,5,10.479
7,101,1,62411.204
7,101,2,3775.336
7,101,3,56201.33
7,101,4,68621.079
7,101,5,6.049
7,102,1,37533.997
7,102,2,3136.168
7,102,3,32375.459
7,102,4,42692.535
7,102,5,8.356
7,103,1,32991.703
7,103,2,3448.227
7,103,3,27319.874
7,103,4,38663.531
7,103,5,10.452
7,104,1,30765.615
7,104,2,2580.012
7,104,3,26521.872
7,104,4,35009.357
7,104,5,8.386
7,105,1,32934.72
7,105,2,3439.02
7,105,3,27278.036
7,105,4,38591.404
7,105,5,10.442
7,106,1,33509.988
7,106,2,2731.45
7,106,3,29017.153
7,106,4,38002.823
7,106,5,8.151
7,107,1,27578.042
7,107,2,1696.025
7,107,3,24788.329
7,107,4,30367.755
7,107,5,6.15
7,108,1,42999.687
7,108,2,4168.804
7,108,3,36142.615
7,108,4,49856.759
7,108,5,9.695
7,109,1,40289.7
7,109,2,3332.279
7,109,3,34808.588
7,109,4,45770.812
7,109,5,8.271
7,110,1,22217.413
7,110,2,2355.555
7,110,3,18342.87
7,110,4,26091.956
7,110,5,10.602
7,111,1,26745.624
7,111,2,2810.236
7,111,3,22123.198
7,111,4,31368.051
7,111,5,10.507
7,112,1,19151.2
7,112,2,2087.976
7,112,3,15716.786
7,112,4,22585.614
7,112,5,10.903
7,113,1,21501.588
7,113,2,2294.429
7,113,3,17727.588
7,113,4,25275.588
7,113,5,10.671
7,114,1,36215.979
7,114,2,3814.825
7,114,3,29941.15
7,114,4,42490.809
7,114,5,10.534
7,115,1,31561.888
7,115,2,3344.382
7,115,3,26060.869
7,115,4,37062.907
7,115,5,10.596
7,116,1,25851.779
7,116,2,2745.573
7,116,3,21335.713
7,116,4,30367.844
7,116,5,10.62
7,117,1,20399.938
7,117,2,2160.517
7,117,3,16846.203
7,117,4,23953.673
7,117,5,10.591
7,118,1,24293.09
7,118,2,2575.154
7,118,3,20057.338
7,118,4,28528.841
7,118,5,10.6
7,119,1,21446.57
7,119,2,2304.353
7,119,3,17656.247
7,119,4,25236.893
7,119,5,10.745
7,120,1,32092.42
7,120,2,3372.257
7,120,3,26545.55
7,120,4,37639.29
7,120,5,10.508
7,121,1,27274.789
7,121,2,2862.286
7,121,3,22566.748
7,121,4,31982.831
7,121,5,10.494
7,122,1,30629.48
7,122,2,3232.795
7,122,3,25312.007
7,122,4,35946.954
7,122,5,10.555
7,123,1,30205.719
7,123,2,3222.648
7,123,3,24904.936
7,123,4,35506.503
7,123,5,10.669
7,124,1,33124.185
7,124,2,3517.159
7,124,3,27338.974
7,124,4,38909.396
7,124,5,10.618
7,125,1,29468.52
7,125,2,3183.175
7,125,3,24232.664
7,125,4,34704.377
7,125,5,10.802
8,0,1,81929.177
8,0,2,3475.996
8,0,3,76211.673
8,0,4,87646.681
8,0,5,4.243
8,1,1,87964.043
8,1,2,7510.596
8,1,3,75610.211
8,1,4,100317.874
8,1,5,8.538
8,2,1,63949.273
8,2,2,5685.688
8,2,3,54597.149
8,2,4,73301.398
8,2,5,8.891
8,3,1,61493.307
8,3,2,6414.142
8,3,3,50942.983
8,3,4,72043.631
8,3,5,10.431
8,4,1,56269.338
8,4,2,5860.365
8,4,3,46629.896
8,4,4,65908.781
8,4,5,10.415
8,5,1,64439.139
8,5,2,6715.299
8,5,3,53393.454
8,5,4,75484.824
8,5,5,10.421
8,6,1,56367.988
8,6,2,3633.43
8,6,3,50391.528
8,6,4,62344.449
8,6,5,6.446
8,7,1,34793.062
8,7,2,3055.819
8,7,3,29766.687
8,7,4,39819.436
8,7,5,8.783
8,8,1,26785.729
8,8,2,2263.34
8,8,3,23062.866
8,8,4,30508.593
8,8,5,8.45
8,9,1,52220.031
8,9,2,5521.478
8,9,3,43138.009
8,9,4,61302.053
8,9,5,10.573
8,10,1,67123.102
8,10,2,111.746
8,10,3,66939.295
8,10,4,67306.908
8,10,5,0.166
8,11,1,53679.433
8,11,2,3012.287
8,11,3,48724.662
8,11,4,58634.204
8,11,5,5.612
8,12,1,40746.757
8,12,2,4281.612
8,12,3,33704.132
8,12,4,47789.382
8,12,5,10.508
8,13,1,60132.344
8,13,2,6254.816
8,13,3,49844.088
8,13,4,70420.601
8,13,5,10.402
8,14,1,58592.967
8,14,2,5204.316
8,14,3,50032.628
8,14,4,67153.305
8,14,5,8.882
8,15,1,58653.849
8,15,2,6172.696
8,15,3,48500.667
8,15,4,68807.031
8,15,5,10.524
8,16,1,56960.199
8,16,2,4744.144
8,16,3,49156.776
8,16,4,64763.621
8,16,5,8.329
8,17,1,78365.895
8,17,2,4991.034
8,17,3,70156.374
8,17,4,86575.415
8,17,5,6.369
8,18,1,86182.943
8,18,2,7051.261
8,18,3,74584.65
8,18,4,97781.235
8,18,5,8.182
8,19,1,93427.726
8,19,2,6456.838
8,19,3,82807.172
8,19,4,104048.28
8,19,5,6.911
8,20,1,49392.277
8,20,2,4175.163
8,20,3,42524.745
8,20,4,56259.808
8,20,5,8.453
8,21,1,72672.901
8,21,2,3521.466
8,21,3,66880.604
8,21,4,78465.197
8,21,5,4.846
8,22,1,46739.099
8,22,2,4978.036
8,22,3,38550.958
8,22,4,54927.24
8,22,5,10.651
8,23,1,66943.519
8,23,2,7151.102
8,23,3,55181.004
8,23,4,78706.035
8,23,5,10.682
8,24,1,71457.886
8,24,2,7537.801
8,24,3,59059.306
8,24,4,83856.466
8,24,5,10.549
8,25,1,62606.422
8,25,2,6541.737
8,25,3,51846.222
8,25,4,73366.622
8,25,5,10.449
8,26,1,61375.885
8,26,2,5268.5
8,26,3,52709.974
8,26,4,70041.796
8,26,5,8.584
8,27,1,26836.971
8,27,2,1849.85
8,27,3,23794.238
8,27,4,29879.703
8,27,5,6.893
8,28,1,76164.016
8,28,2,7267.943
8,28,3,64209.314
8,28,4,88118.719
8,28,5,9.542
8,29,1,33135.354
8,29,2,2966.657
8,29,3,28255.638
8,29,4,38015.071
8,29,5,8.953
8,30,1,31757.97
8,30,2,2741.844
8,30,3,27248.038
8,30,4,36267.903
8,30,5,8.634
8,31,1,55231.603
8,31,2,3775.172
8,31,3,49021.998
8,31,4,61441.207
8,31,5,6.835
8,32,1,73684.477
8,32,2,7675.653
8,32,3,61059.152
8,32,4,86309.802
8,32,5,10.417
8,33,1,42629.612
8,33,2,4523.251
8,33,3,35189.526
8,33,4,50069.697
8,33,5,10.611
8,34,1,56193.154
8,34,2,4708.641
8,34,3,48448.128
8,34,4,63938.179
8,34,5,8.379
8,35,1,65393.957
8,35,2,5290.021
8,35,3,56692.646
8,35,4,74095.267
8,35,5,8.089
8,36,1,56285.867
8,36,2,4819.773
8,36,3,48358.047
8,36,4,64213.688
8,36,5,8.563
8,37,1,91743.106
8,37,2,2621.035
8,37,3,87431.886
8,37,4,96054.325
8,37,5,2.857
8,38,1,43176.233
8,38,2,776.847
8,38,3,41898.434
8,38,4,44454.032
8,38,5,1.799
8,39,1,57707.423
8,39,2,6019.735
8,39,3,47805.839
8,39,4,67609.007
8,39,5,10.431
8,40,1,65432.791
8,40,2,4728.742
8,40,3,57654.702
8,40,4,73210.88
8,40,5,7.227
8,41,1,34549.318
8,41,2,3626.983
8,41,3,28583.462
8,41,4,40515.173
8,41,5,10.498
8,42,1,58834.329
8,42,2,5173.965
8,42,3,50323.914
8,42,4,67344.745
8,42,5,8.794
8,43,1,49045.19
8,43,2,4260.885
8,43,3,42036.658
8,43,4,56053.723
8,43,5,8.688
8,44,1,56054.258
8,44,2,5857.021
